,사업장명,상세영업상태명,소재지전체주소,시설규모,kakao_score,lat,lon
138,광진해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
139,광진해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
140,광진해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
141,광진해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
142,광진리해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
143,광진리해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
144,광진리해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
145,광진리해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
146,송림오토캠핑장,폐업,경상북도 경주시 감포읍 전촌리 686-2번지,,0.0,35.7872111,129.4900735
147,솔밭야영장,폐업,강원도 고성군 현내면 초도리 94-7번지,,2.3,38.481854,128.4373195
148,솔밭야영장,폐업,강원도 고성군 현내면 초도리 94-7번지,,2.3,38.481854,128.4373195
149,솔밭야영장,폐업,강원도 고성군 현내면 초도리 94-7번지,,2.3,38.481854,128.4373195
150,솔밭야영장,폐업,강원도 고성군 현내면 초도리 94-7번지,,2.3,38.481854,128.4373195
151,솔밭야영장,폐업,강원도 고성군 현내면 초도리 94-7번지,,2.3,38.481854,128.4373195
152,낙산해수욕장 야영장,폐업,강원도 양양군 양양읍 조산리 433-19번지,,,38.112352,128.6376361
153,낙산해수욕장 야영장,폐업,강원도 양양군 양양읍 조산리 433-19번지,,,38.112352,128.6376361
154,낙산해수욕장 야영장,폐업,강원도 양양군 양양읍 조산리 433-19번지,,,38.112352,128.6376361
155,낙산해변야영장,폐업,강원도 양양군 양양읍 조산리 433-19번지,,,38.112352,128.6376361
156,낙산해변야영장,폐업,강원도 양양군 양양읍 조산리 433-19번지,,,38.112352,128.6376361
157,낙산해변야영장,폐업,강원도 양양군 양양읍 조산리 433-19번지,,,38.112352,128.6376361
158,낙산해수욕장 야영장,폐업,강원도 양양군 양양읍 조산리 433-19번지,,,38.112352,128.6376361
159,낙산해수욕장 야영장,폐업,강원도 양양군 양양읍 조산리 433-19번지,,,38.112352,128.6376361
160,낙산해수욕장 야영장,폐업,강원도 양양군 양양읍 조산리 433-19번지,,,38.112352,128.6376361
161,기사문리해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
162,기사문리해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
163,기사문리해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
164,기사문리해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
165,기사문리 해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
166,기사문리 해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
167,기사문리 해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
168,기사문리 해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
169,기사문 38야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
170,기사문 38야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
171,기사문 38야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
172,기사문 38야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
173,기사문해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
174,기사문해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
175,기사문해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
176,기사문해수욕장 야영장,폐업,강원도 양양군 현북면 기사문리 89-37번지,,,38.0061796,128.7306347
177,김녕해수욕장 야영장,폐업,제주특별자치도 제주시 구좌읍 김녕리 488번지,,3.3,33.5581981,126.7619236
