CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP301808,녹천캠핑,"일반야영장,자동차야영장,글램핑",37.8447877,127.348642,경기 가평군 조종면 운악청계로333번길 55-51 296-1,10,10,9,0,2,2,7,18,11,0,9,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2016-05-02,1807,I,20201125000000,,,N,
CAP301814,담양 금성산성 오토캠핑장,"일반야영장,글램핑",35.3677149,127.0344605,전남 담양군 금성면 새덕굴길 135-88 산90,30,0,8,0,3,1,17,120,0,0,8,"전기,장작판매,온수,물놀이장,놀이터,산책로,운동시설,마트, 편의점","카페운영중, 인터넷은 부분적으로 가능",2020-11-20,2014-08-22,1813,I,20201125000000,,,N,
CAP301815,두리캠핑장,"일반야영장,글램핑",37.5705242,126.7630615,인천 계양구 장제로 1145 (귤현동) 인천시 계양구 귤현동 28-1,39,0,14,0,2,1,1,0,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2015-05-07,1814,I,20201125000000,,,N,
CAP301818,레이크 캠핑장,"카라반,글램핑",37.7208791,127.4275823,경기 가평군 설악면 유명로 2569 레이크리조트,0,0,8,2,2,2,3,10,2,2,10,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트, 편의점",수상레져 워터파크,2020-11-20,2016-03-29,1817,I,20201125000000,,,N,
CAP301819,리즈밸리 글램핑캠핑장,"카라반,글램핑",37.5915122,127.5128059,경기 가평군 설악면 어비산길 201-34 40,0,0,12,1,2,2,11,13,0,0,13,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동장,운동시설",,2020-11-20,2016-10-17,1818,I,20201125000000,,,N,
CAP301829,백운계곡캠핑장,"일반야영장,글램핑",38.766079,127.379209,경기도 포천시 이동면 도평리 272-3,0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2017-06-14,1828,I,20201125000000,,,N,
CAP301833,별빛야영장,"일반야영장,자동차야영장,글램핑",36.1402922,128.996493,경상북도 영천시 화북면 별빛로 681-32,0,30,7,0,2,2,2,22,0,0,7,"전기,놀이터",,2020-11-20,2018-05-31,1832,I,20201125000000,,,N,
CAP301839,산으로간 니모 캠핑장,"자동차야영장,글램핑",37.854851,127.396992,경기 가평군 조종면 연인산로 670-321 산으로간니모,12,12,7,0,2,2,10,19,0,0,7,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설",,2020-11-20,2016-05-17,1838,I,20201125000000,,,N,
CAP301841,소풍캠핑장,"일반야영장,자동차야영장,글램핑",37.5951487,127.5084698,경기 가평군 설악면 어비산길 184-147 108,19,0,7,0,4,6,6,3,2,2,3,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트, 편의점",족구장,2020-11-20,2016-07-14,1840,I,20201125000000,,,N,
CAP301843,솔바람캠핑장,"자동차야영장,글램핑",37.9041288,127.3746013,경기 가평군 조종면 명지산로 337-62 481-1,0,30,7,0,2,2,7,23,3,3,7,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동장,운동시설",,2020-11-20,2016-01-20,1842,I,20201125000000,,,N,
