"CMPSI_ID","CMPSI_NM","CMPSI_SCTIN_NM","CMPSI_LTTD_VAL","CMPSI_LNGTD_VAL","CMPSI_ADDR",CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,"CMPSI_ETC_SBFCL_NM1","CMPSI_ETC_SBFCL_NM2","CMPSI_INFO_DATA_STNDD_DTM","CMPSI_CNPRM_DTM",DATA_CONNO,"OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"CAP300037","가야랜드달빛야영장","일반야영장","35.2589749","128.9056121","경상남도 김해시 삼방동  826",0,0,0,0,0,0,0,0,0,0,0,"전기,장작판매,온수,운동시설",NULL,"2020-11-20","2016-04-28",36,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300038","가온누리캠핑체험장","일반야영장","35.9811535","129.1374157","경상북도 경주시 안강읍 하곡리  632",46,0,0,0,2,2,1,30,30,30,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점",NULL,"2020-11-20","2015-07-22",37,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300039","가우도카라반펜션","일반야영장,카라반","34.5276559","126.7917474","전남 강진군 대구면 저두바닷길 3",5,0,0,6,2,2,3,6,0,0,0,"전기,무선인터넷,온수,물놀이장,놀이터,운동시설",NULL,"2020-11-20","2015-12-23",38,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300040","가은해솔캠핑장","일반야영장","36.7005829","128.0186437","경상북도 문경시 가은읍 원북리 177-6",10,0,0,0,4,2,1,8,0,0,0,"전기,장작판매,온수,물놀이장",NULL,"2020-11-20","2017-05-15",39,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300041","변산 오토캠핑장","자동차야영장,카라반","35.6824139","126.5336697","전북 부안군 변산면 변산로 2054",0,30,0,5,0,0,0,0,0,0,0,"전기,무선인터넷,온수",NULL,"2020-11-20","2017-06-27",40,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300042","가족쉼터","자동차야영장","37.7548248","127.2720936","경기도 남양주시 수동면 수산리  591-2",25,0,0,0,2,2,2,9,0,0,0,"전기,놀이터",NULL,"2020-11-20","2015-08-20",41,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300043","청계산 골든밸리 가족캠핑장","일반야영장,글램핑","37.4160706","127.0782351","경기 성남시 수정구 달래내로221번길 17-5 (금토동) 청계산골든밸리캠핑장",18,0,7,0,6,6,10,18,1,1,10,"전기,장작판매,온수",NULL,"2020-11-20","2019-12-16",42,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300044","가지산 자연캠핑장","일반야영장,자동차야영장","35.6366866","129.0561062","울산광역시 울주군 삽재로 279-22 가지산자연  가지산 자연캠핑장",16,16,0,0,1,1,1,6,0,0,0,"전기,무선인터넷,장작판매,온수,운동시설",NULL,"2020-11-20","2016-07-21",43,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300045","가창농원 야영장","일반야영장,자동차야영장","35.7270263","128.6791722","대구광역시 달성군 가창면 삼산리  128",8,8,0,0,1,1,1,10,0,0,0,"전기,무선인터넷,온수,물놀이장,운동장","참숯가마","2020-11-20","2016-06-08",44,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300046","가평 사계절캠핑장","일반야영장,자동차야영장","37.8833509","127.5489707","경기도 가평군 가화로 988-0  가평 사계절캠핑장",25,23,0,0,2,3,4,16,0,1,2,"전기,무선인터넷,온수,트램폴린,마트, 편의점","통나무 방갈로 2개동 운영중 별도문의","2020-11-20","2016-07-28",45,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300047","가평 사과나무 캠핑장","자동차야영장","37.7895015","127.358428","경기도 가평군 상면 항사리  427-6 외2필지",10,0,0,0,2,2,6,8,0,0,0,"전기,장작판매,놀이터",NULL,"2020-11-20","2015-10-19",46,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300048","가평운악홀리데이 카라반파크","글램핑","37.853651","127.356336","경기 가평군 조종면 운악청계로 424 가평운악홀리데이 카라반파크",0,0,15,15,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,산책로,운동장,운동시설",NULL,"2020-11-20","2016-11-01",47,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300049","가평황토은글램핑","글램핑","37.6076671","127.5102426","경기 가평군 설악면 장수로79번길 63-18",0,0,4,0,0,0,0,4,0,0,4,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동장,운동시설,마트, 편의점",NULL,"2020-11-20","2017-05-26",48,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300050","흑석산 자연 휴양림","일반야영장","34.6719718","126.6152381","전라남도 해남군 계곡면 산골길 306  흑석산자연휴양림",0,13,0,0,2,2,2,0,0,0,0,"전기,물놀이장,놀이터",NULL,"2020-11-20","2015-05-08",49,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300051","각화산 힐링 숲 캠프","일반야영장","36.9850364","128.8984994","경상북도 봉화군 춘양면 공세동길 133",0,0,0,0,0,0,0,0,0,0,0,"전기,온수,놀이터",NULL,"2020-11-20","2017-03-28",50,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300052","각흘봉관광농원","일반야영장","38.1079239","127.3968454","경기도 포천시 이동면 도평리 572-3",12,0,0,0,1,1,2,6,1,0,4,"전기,무선인터넷,장작판매,온수,운동시설","무선인터넷 일부이용가능 / 정자 5개 / 캠핑장 내 골프연습용 타석 2개","2020-11-20","2017-05-31",51,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300053","간월도캠핑장","일반야영장","36.6068354","126.4177826","충청남도 서산시 부석면 간월도리 21-20",0,0,0,0,0,0,0,0,0,0,0,"전기,장작판매,온수,산책로",NULL,"2020-11-20","2015-08-17",52,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300054","갈기산펜션캠핑장","자동차야영장","37.5594165","127.7882815","경기도 양평군 청운면 신론리  189",12,0,0,0,1,1,1,6,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장",NULL,"2020-11-20","2015-07-07",53,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300055","갈천 오토캠핑장","일반야영장","37.9112769","128.500403","강원도 양양군 서면 구룡령로 1103-12  갈천 오토캠핑장",0,0,0,0,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",NULL,"2020-11-20","2016-07-25",54,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300056","감 이야기 캠핑장","일반야영장","35.6659701","129.001225","경상북도 청도군 운문면 신원리  75-1",20,0,0,0,4,3,3,10,1,1,0,"전기,무선인터넷,장작판매,트램폴린,물놀이장,놀이터,운동시설",NULL,"2020-11-20","2016-05-23",55,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300057","감악산캠핑숲오토캠핑장","자동차야영장","37.2498068","128.1399087","강원도 원주시 신림면 황둔리  1542",59,0,0,0,3,1,2,50,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,운동시설","다실","2020-11-20","2015-04-29",56,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300058","강나루 오토캠핑장","일반야영장","35.3930913","128.5085477","경상남도 함안군 칠서면 이룡리 998",0,190,0,0,5,4,4,30,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,산책로,운동시설,마트, 편의점",NULL,"2020-11-20","2014-05-15",57,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300059","강나루 캠핑장","일반야영장","35.4963606","128.0250018","경남 합천군 가회면 둔내리 563-6, 563-7",0,0,0,0,2,1,2,0,0,0,0,"전기",NULL,"2020-11-20","2017-07-02",58,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300060","강당골캠핑파크","일반야영장","36.7162118","127.0159079","충남 아산시 송악면 강당로 187-17",9,0,0,0,4,2,2,6,0,0,4,"전기,장작판매,온수,트램폴린,물놀이장,운동시설",NULL,"2020-11-20","2017-07-19",59,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300061","강동 그린웨이 가족캠핑장","자동차야영장","37.5362549","127.1520941","서울특별시 강동구 둔촌동 동남로 660  일자산자연공원제1체육관",72,8,0,0,2,2,2,80,0,0,0,"전기,무선인터넷,놀이터,운동장,운동시설,마트, 편의점",NULL,"2020-11-20","2015-05-20",60,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300062","강릉 노추산 힐링캠프","자동차야영장","37.5715684","128.7418225","강원 강릉시 왕산면 노추산로 1271-6",50,0,0,0,2,1,1,0,0,0,0,"전기,장작판매,놀이터,산책로",NULL,"2020-11-20","2016-05-20",61,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300063","강변사리 캠핑장","일반야영장","35.4952009","127.1900106","전라북도 임실군 덕치면 강동로 865-20",0,14,0,0,1,1,1,10,0,0,0,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설",NULL,"2020-11-20","2017-04-27",62,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300064","강변 야영장","자동차야영장","38.1927024","128.3279648","강원도 인제군 북면 만해로 237",8,0,0,0,1,1,2,6,0,0,0,"전기,온수",NULL,"2020-11-20","2017-11-30",63,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300065","강변오토캠핑장","일반야영장","36.8206892","127.8414386","충청북도 괴산군 괴산읍 검승리  117-2",50,0,0,0,2,2,1,19,0,0,6,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설,마트, 편의점","민박, 펜션","2020-11-20","2015-06-09",64,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300066","강산에 글램핑","일반야영장,글램핑","35.6764852","128.9849793","청도군 운문면 신원리 390-2",0,0,10,0,4,2,2,10,0,0,10,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동장,운동시설","펜션과 방갈로 운영","2020-11-20","2017-06-20",65,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300067","강원도산림개발연구원 집다리골자연휴양림","일반야영장","37.9778582","127.5738331","강원도 춘천시 사북면 지암리 산5",35,0,0,0,2,2,2,18,0,0,0,"물놀이장,놀이터,산책로,운동시설",NULL,"2020-11-20","2015-06-11",66,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300068","강원도힐링캠핑장","자동차야영장","37.245979","128.157204","강원도 원주시 신림면 황둔리  1240",100,0,0,0,2,2,2,50,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,운동시설",NULL,"2020-11-20","2015-05-27",67,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300069","큐브빌리지글램핑","글램핑","34.5351298","126.8000499","전남 강진군 대구면 청자로 1339-74",0,0,15,0,1,1,1,18,0,0,8,"전기,장작판매,온수,트램폴린,물놀이장,운동장,운동시설",NULL,"2020-11-20","2020-04-23",68,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300070","강천산캠핑","일반야영장,카라반","35.4158854","127.0775094","전북 순창군 팔덕면 강천로 664-26",0,0,0,7,0,0,0,7,0,0,7,"전기,무선인터넷,온수,물놀이장,놀이터",NULL,"2020-11-20","2016-07-20",69,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300071","강촌강변오토캠핑장","자동차야영장","37.8245157","127.6171339","강원도 춘천시 남산면 강촌리  534-5",0,0,0,0,0,0,0,0,0,0,0,"장작판매,온수",NULL,"2020-11-20","2016-02-11",70,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300072","강촌관광농원","글램핑","37.8191162","127.6012627","강원도 춘천시 남산면 강촌리  499",0,0,20,0,0,0,0,0,0,0,0,"온수,물놀이장,놀이터,운동장","세미나실, 족구장, 수영장, 당구장, 계곡 수영장","2020-11-20","2015-08-19",71,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300073","강촌달머리캠핑장","일반야영장,자동차야영장,카라반","37.850929","127.5732255","강원도 춘천시 서면 안보리  471-1",60,0,0,0,1,0,1,3,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,마트, 편의점",NULL,"2020-11-20","2016-03-16",72,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300074","강촌하늘아래","일반야영장,글램핑","37.8005486","127.641409","강원도 춘천시 남산면 방곡리  351-3",30,0,16,0,2,1,2,2,0,0,1,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,운동장,마트, 편의점","어린이도서관","2020-11-20","2015-05-08",73,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300075","강촌포도펜션오토캠핑장","자동차야영장","37.808534","127.5729974","강원도 춘천시 남산면 백양리  266-2번지",15,0,0,0,2,2,1,12,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,운동시설",NULL,"2020-11-20","2015-09-04",74,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300076","강화고인돌 캠핑장","일반야영장","37.7769726","126.4348512","인천광역시 강화군 하점면 장정리 989",0,0,0,0,2,2,1,11,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","식물원","2020-11-20","2017-03-22",75,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300077","강화도산들애농원캠핑수영장","자동차야영장","37.7408766","126.4601554","인천광역시 강화군 강화읍 국화리  344-1",35,0,0,0,2,2,2,35,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",NULL,"2020-11-20","2015-12-04",76,"I","20201125000000",NULL,NULL,"N",NULL
