CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP300425,룰루랄라 캠핑장,일반야영장,36.5859923,129.3415295,경상북도 영덕군 창수면 오서로 471  룰루랄라 캠핑장,22,0,0,0,2,2,2,11,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2015-09-10,424,I,20201125000000,,,N,
CAP300430,리앤파크,"일반야영장,글램핑",36.2559493,127.860136,충북 영동군 황간면 구룡로 321,30,0,10,0,2,2,2,40,2,1,6,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,운동시설,마트, 편의점",,2020-11-20,2016-11-29,429,I,20201125000000,,,N,
CAP300433,마레보 카라반,일반야영장,33.471686,126.3542079,제주특별자치도 제주시 애월읍 고내리 41,0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2016-04-29,432,I,20201125000000,,,N,
CAP300434,마령큰시내들캠핑장,"일반야영장,글램핑",35.7386448,127.3443765,전북 진안군 마령면 강정리 655-1,0,42,10,0,2,2,3,55,0,0,10,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,운동시설",,2020-11-20,2016-11-17,433,I,20201125000000,,,N,
CAP300437,마리원관광농원캠핑장,일반야영장,37.615425,126.5106207,인천 강화군 길상면 장흥로101번길 6,25,25,0,0,4,4,1,25,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트, 편의점",,2020-11-20,2015-08-27,436,I,20201125000000,,,N,
CAP300438,마방캠핑장,일반야영장,36.9895827,128.9605563,경상북도 봉화군 소천면 고선리 510,15,0,0,0,1,1,1,4,0,0,0,"전기,온수,물놀이장,놀이터",,2020-11-20,2017-08-11,437,I,20201125000000,,,N,
CAP300441,마이산 풍혈냉천 캠핑장,"일반야영장,글램핑",35.7208543,127.3028273,전북 진안군 성수면 용포로 345,0,36,5,0,1,1,1,26,0,0,5,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,2020-11-20,2016-06-27,440,I,20201125000000,,,N,
CAP300442,마이웨이 리조트 관광,"일반야영장,글램핑",35.5367129,128.8000508,경남 밀양시 산외면 엄광리 1198-1,0,0,14,0,0,0,0,14,0,0,14,"전기,온수,물놀이장,놀이터",,2020-11-20,2017-08-14,441,I,20201125000000,,,N,
CAP300443,만리포몰디브,일반야영장,36.796308,126.1478527,충청남도 태안군 소원면 천리포1길 143-22  만리포몰디브,0,0,0,0,0,0,0,0,0,0,0,"전기,온수",,2020-11-20,2016-08-24,442,I,20201125000000,,,N,
CAP300444,만리포미소카라반,"일반야영장,카라반",36.7839609,126.1406022,충청남도 태안군 소원면 모항리  1325-120,0,0,0,0,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트, 편의점",,2020-11-20,2016-08-03,443,I,20201125000000,,,N,
CAP300447,만수산 자연휴양림,일반야영장,36.3387342,126.7095962,충청남도 부여군 외산면 휴양로 107  만수산 자연휴양림,0,0,0,0,0,0,0,0,0,0,0,물놀이장,,2020-11-20,2015-06-03,446,I,20201125000000,,,N,
CAP300448,만정캠핑장,일반야영장,37.5160908,126.5481618,인천광역시 중구 중산동  1853,0,23,0,0,2,2,2,12,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,2020-11-20,2011-10-07,447,I,20201125000000,,,N,
CAP300449,맑은개울 캠핑장,일반야영장,36.4860165,127.9588028,경상북도 상주시 화서면 하송3길 178-5,23,0,0,0,2,2,2,15,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2016-07-07,448,I,20201125000000,,,N,
CAP300452,맘빌리지,"일반야영장,카라반",36.7377478,126.2022919,충청남도 태안군 소원면 법산리  320 맘빌리지,0,0,0,12,1,1,4,20,0,2,13,"전기,장작판매,온수,트램폴린,물놀이장,산책로",,2020-11-20,2015-04-22,451,I,20201125000000,,,N,
CAP300454,매화관광농원캠핑장,일반야영장,35.5854507,128.8006211,경상남도 밀양시 상동면 매화리  764-20,60,0,0,0,1,1,2,30,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동장,마트, 편의점",,2020-11-20,2016-07-18,453,I,20201125000000,,,N,
CAP300455,매봉힐링쉼터오토캠핑장,일반야영장,37.2604897,128.1386278,강원도 원주시 신림면 황둔리  1625-1,0,60,0,0,2,2,2,50,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설","키즈카페,도서실,",2020-11-20,2015-05-26,454,I,20201125000000,,,N,
CAP300457,매화둠벙마을영농조합법인,"일반야영장,글램핑",36.8120627,126.2268144,충청남도 태안군 원북면 동해리  779-8,0,0,9,0,1,2,1,10,0,0,9,"전기,무선인터넷,장작판매,온수,놀이터,산책로,마트, 편의점",,2020-11-20,2015-12-04,456,I,20201125000000,,,N,
CAP300458,메가오토캠핑장,일반야영장,37.9954235,127.3159267,경기도 포천시 일동면 수입리 700-8 외 2필지,0,40,0,0,1,1,1,25,3,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설",,2020-11-20,2017-07-05,457,I,20201125000000,,,N,
CAP300460,캠핑플래닛,"일반야영장,글램핑",37.8868061,127.2853634,경기도 포천시 화현면 명덕리  10-8,15,0,16,0,1,1,1,15,0,0,16,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2015-11-24,459,I,20201125000000,,,N,
CAP300461,명성산글램핑,"일반야영장,글램핑",38.1045101,127.3386725,경기도 포천시 영북면 산정호수로  1017,0,0,10,0,1,1,1,13,0,0,13,"전기,온수,운동시설",,2020-11-20,2015-04-06,460,I,20201125000000,,,N,
CAP300462,명지산카라반오토캠핑장,"일반야영장,자동차야영장,카라반,글램핑",37.9814614,127.4474625,경기도 가평군 북면 적목리  85-7,2,0,15,26,5,5,5,46,0,4,46,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",,2020-11-20,2016-06-23,461,I,20201125000000,,,N,
CAP300464,모꼬지캠핑장,일반야영장,35.7190767,127.0109391,전북 김제시 금산면 모악로 167-16,50,0,0,0,3,3,2,50,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",카페,2020-11-20,2017-04-18,463,I,20201125000000,,,N,
