,소재지전체주소,lat,lon
250,제주특별자치도 제주시 애월읍 곽지리 1565,33.4507522,126.3056339
251,제주특별자치도 제주시 구좌읍 김녕리 488,33.5581981,126.7619236
252,인천광역시 강화군 화도면 동막리 6,37.59322280000001,126.4591009
253,강원도 고성군 죽왕면 오호리 68-10,38.3236707,128.5268096
254,경상남도 창원시 마산합포구 가포동 186-4,35.1568996,128.5834384
255,경상북도 군위군 소보면 서경리 311-3,36.2319368,128.4990218
256,충청남도 태안군 남면 양잠리 1230-3,36.6442404,126.3004253
257,경상북도 영덕군 병곡면 병곡리 58-5,36.5968194,129.4096368
258,경상북도 영덕군 병곡면 영리 119-17,36.5940233,129.4092462
259,경상남도 거제시 남부면 저구리 262-4 외 8필지,34.726449,128.6043996
260,강원도 양양군 강현면 물치리 67-1 지선,38.1536005,128.6078636
261,강원도 양양군 강현면 용호리 4-3,38.1328153,128.6215869
262,강원도 양양군 양양읍 조산리 399-59,38.1095253,128.6375237
263,강원도 양양군 손양면 동호리 1-126,38.0504729,128.6882394
264,강원도 양양군 현북면 하광정리 80-2,38.0229632,128.7248058
265,강원도 양양군 현북면 잔교리 4-9,37.9946293,128.7413827
266,강원도 양양군 현북면 기사문리 89-37 지선,38.0061796,128.7306347
267,강원도 양양군 현남면 동산리 203-54,37.9818945,128.7565491
268,강원도 양양군 현남면 시변리 12-4 지선,37.9736587,128.759746
269,강원도 양양군 현남면 인구리 1-117 지선,37.966462,128.7598277
270,강원도 양양군 현남면 남애리 600-14,37.9483325,128.7746942
271,강원도 속초시 대포동 591 번지선,38.1830974,128.608531
272,경상북도 울진군 죽변면 봉평리 97-2,37.0438361,129.4127881
273,경상북도 울진군 기성면 구산리 산 73 구산해수욕장,36.7522358,129.4679204
274,경상북도 울진군 후포면 삼율리 124-43 후포해수욕장 행정봉사실,36.6769739,129.4450268
275,강원도 양양군 강현면 정암리 1-4,38.1439125,128.6121743
276,경기도 포천시 소흘읍 이곡리 444-1번지 외 1필지(444-2번지),37.7808128,127.1442949
277,경기도 포천시 소흘읍 직동리 73-5번지,37.7656018,127.1699871
278,서울특별시 서초구 양재동 236번지,37.4712172,127.0367358
279,서울특별시 서초구 양재동 200번지,37.4677882,127.0308279
280,서울특별시 서초구 잠원동 121번지,37.5206865,127.0122724
281,서울특별시 서초구 잠원동 121-8번지,37.5192744,127.0109607
282,서울특별시 서초구 양재동 236번지,37.4712172,127.0367358
283,서울특별시 서초구 잠원동 121번지,37.5206865,127.0122724
284,서울특별시 서초구 잠원동 121번지,37.5206865,127.0122724
285,강원도 영월군 주천면 판운리 474-13번지 외 1필지(474-14),37.2918396,128.3266285
286,"강원도 영월군 무릉도원면 법흥리 143-2번지 외 5필지(143,143-6,413-7,143-3,143-4,143-5)",37.3617234,128.2766776
287,강원도 영월군 무릉도원면 운학리 930-3번지,37.3192583,128.1883956
288,강원도 춘천시 남면 관천리 490-1,37.724996,127.5095606
289,강원도 고성군 토성면 아야진리 230번지,38.27655499999999,128.5523802
290,강원도 고성군 거진읍 반암리 40번지,38.4203724,128.4627497
291,강원도 고성군 죽왕면 삼포리 1번지,38.3211314,128.5273127
292,강원도 고성군 죽왕면 공현진리 55번지,38.3551974,128.5111627
293,강원도 고성군 간성읍 진부리 133번지,38.295756,128.3639163
294,경상북도 청도군 운문면 신원리 110-3번지,35.6657588,129.0021064
295,경상북도 청도군 각북면 남산리 1286-1번지,35.6905375,128.5662799
296,경상북도 청도군 운문면 신원리 390-2,35.6764852,128.9849793
297,경상북도 군위군 고로면 장곡리 48번지,36.1310288,128.8387038
298,경상북도 군위군 고로면 화북리 204번지,36.119373,128.7885057
299,"경기도 포천시 가산면 우금리 96 외 3필지(96-3, 96-5, 97-9)",37.8215332,127.2090115
300,강원도 고성군 죽왕면 오호리 1-5번지,38.3305237,128.5273418
301,강원도 고성군 죽왕면 문암진리 460번지,38.3027743,128.5421095
302,강원도 고성군 현내면 초도리 94번지,38.48177039999999,128.4358439
303,강원도 고성군 죽왕면 공현진리,38.3545842,128.4968455
304,강원도 영월군 주천면 용석리 331 외 1필지,37.2215305,128.2969771
305,경기도 가평군 설악면 천안리 18번지,37.6310694,127.4894656
306,경기도 가평군 설악면 묵안리 171-4번지,37.593986,127.533568
307,경기도 가평군 상면 행현리 431,37.7627213,127.3617977
308,경기도 가평군 청평면 삼회리 268-1번지,37.6910757,127.3885286
309,"경기도 포천시 이동면 도평리 538-7 외 2필지(538-2, 543-4)",38.0757063,127.4032977
310,경기도 포천시 이동면 도평리 538-8,38.0757063,127.4032977
311,전라북도 진안군 안천면 백화리 594번지 소나무 쉼터,35.9025407,127.5711562
312,부산광역시 기장군 일광면 용천리 945번지,35.2790293,129.2021123
313,부산광역시 기장군 정관읍 병산리 550-1번지,35.3463769,129.1852567
314,부산광역시 기장군 일광면 이천리 145-20,35.272157,129.2488663
315,부산광역시 기장군 일광면 화전리 9-1번지,35.2898324,129.2344649
316,강원도 고성군 거진읍 거진리,38.4467984,128.453987
317,강원도 고성군 현내면 명파리,38.5398032,128.3766965
318,강원도 고성군 간성읍 장신리 513번지,38.3304025,128.3783351
319,강원도 고성군 죽왕면 오호리 1번지,38.3312378,128.5261964
320,강원도 고성군 간성읍 장신리 513번지,38.3304025,128.3783351
321,강원도 고성군 토성면 아야진리 230번지,38.27655499999999,128.5523802
322,강원도 고성군 토성면 청간리 1-14번지,38.2685731,128.5562703
323,강원도 고성군 죽왕면 공현진리 98번지,38.3539492,128.5093988
324,강원도 고성군 죽왕면 오호리 1-5번지,38.3305237,128.5273418
325,강원도 고성군 거진읍 화포리 516-1번지,38.4596259,128.4407382
326,강원도 고성군 거진읍 반암리 4-1번지,38.42163499999999,128.4624142
327,강원도 고성군 간성읍 진부리 133번지,38.295756,128.3639163
328,강원도 화천군 하남면 논미리 1069-1번지,38.1236015,127.6467087
329,강원도 고성군 현내면 초도리 94번지,38.48177039999999,128.4358439
330,강원도 고성군 죽왕면 오호리 1번지,38.3312378,128.5261964
